geoid,in_nyc,wbgt,svi,svi_heat,gi_count,indoor_count,gi_density,indoor_density,gi_s,indoor_s,adaptive_score,wbgt_s,svi_s,adaptive_vuln_s,chvi,chvi_class,area_sqmi,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4
QN0574,True,17.308594222410907,0.6223753093189037,0.5778727879359461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5895948592076508,0.425192468867705,1.0,0.6715957760251187,High,1.1201162778263405,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0601,True,17.347439784076286,0.6223753093189037,0.5778727879359461,68.0,2.0,93.87897450738282,2.761146309040671,0.13572146570590057,0.15710043324278572,0.14641094947434313,0.6250590706136014,0.425192468867705,0.7328356216040496,0.5943623870284521,Low,0.7243368428002199,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0602,True,17.349177412970892,0.6223753093189037,0.5778727879359461,168.0,2.0,80.81451094483256,0.9620775112480067,0.11683408274635183,0.05473914704748687,0.08578661489691936,0.6266454458858715,0.425192468867705,0.8434602895076193,0.6317660680870653,Moderate,2.0788345810158275,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0701,True,17.33396470570133,0.6223753093189037,0.5778727879359461,7.0,0.0,2.9253613120794353,0.0,0.004229214550735573,0.0,0.0021146072753677864,0.6127569437369781,0.425192468867705,0.9961413559552512,0.6780302561866448,High,2.3928668130994692,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0702,True,17.31637355753461,0.6223753093189037,0.5778727879359461,139.0,0.0,73.6183936480351,0.0,0.10643060750561911,0.0,0.053215303752809556,0.5966970344265681,0.425192468867705,0.9028950116141248,0.6415948383027993,Moderate,1.8881150907007052,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0703,True,17.310795278605056,0.6223753093189037,0.5778727879359461,55.0,2.0,38.995796536510476,1.4180289649640174,0.0563764856835762,0.08068133297292243,0.06852890932824932,0.5916043222927284,0.425192468867705,0.8749514054203813,0.630582732193605,Moderate,1.4104084256492957,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0704,True,17.327072409585757,0.6223753093189037,0.5778727879359461,419.0,1.0,206.91746708454795,0.4938364369559617,0.29914197572171786,0.028097720842547524,0.1636198482821327,0.6064645943401368,0.425192468867705,0.7014335661610065,0.5776968764562828,Low,2.024961961422008,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0705,True,17.330354654882626,0.6223753093189037,0.5778727879359461,264.0,1.0,232.46672771857442,0.8805557868127819,0.33607871389070415,0.050100820499726896,0.19308976719521553,0.6094611333552519,0.425192468867705,0.647658130675749,0.560770577632902,Low,1.135646389446321,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0706,True,17.34424962713283,0.6223753093189037,0.5778727879359461,171.0,0.0,180.38665039085933,0.0,0.26078619534664765,0.0,0.13039309767332383,0.6221466040302759,0.425192468867705,0.7620643059000126,0.6031344595993312,Low,0.947963719208043,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0707,True,17.35050900894133,0.6223753093189037,0.5778727879359461,165.0,3.0,119.37255772184253,2.170410140397137,0.17257771065444025,0.12348942620479703,0.14803356842961862,0.6278611317706506,0.425192468867705,0.7298747366011445,0.5943094457465001,Low,1.3822272316932074,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
